Country,Bordering_countries
Afghanistan,China 76; Iran 936; Pakistan 2430; Tajikistan 1206; Turkmenistan 744; Uzbekistan 137
Albania,Greece 282; Macedonia 151; Montenegro 172; Kosovo 112
Algeria,Libya 982; Mali 1376; Mauritania 463; Morocco 1601; Niger 956; Tunisia 965
Andorra,France 56.6; Spain 63.7
Angola,"Congo, Democratic Republic of The 2511; Congo, Republic of The 201; Namibia 1376; Zambia 1110"
Antigua and Barbuda,
Argentina,Bolivia 832; Brazil 1261; Chile 5308; Paraguay 1880; Uruguay 580
Armenia,Azerbaijan 787; Georgia 164; Iran 35; Turkey 268
Australia,
Austria,Czech Republic 362; Germany 784; Hungary 366; Italy 430; Liechtenstein 35; Slovakia 91; Slovenia 330; Switzerland 164
Azerbaijan,Armenia 787; Georgia 322; Iran 611; Russia 284; Turkey 9
"Bahamas, The",
Bahrain,
Bangladesh,Burma 193; India 4053
Barbados,
Belarus,Latvia 171; Lithuania 680; Poland 605; Russia 959; Ukraine 891
Belgium,France 620; Germany 167; Luxembourg 148; Netherlands 450
Belize,Guatemala 266; Mexico 250
Benin,Burkina Faso 306; Niger 266; Nigeria 773; Togo 644
Bhutan,China 470; India 605
Bolivia,Argentina 832; Brazil 3423; Chile 860; Paraguay 750; Peru 1075
Bosnia and Herzegovina,Croatia 932; Montenegro 249; Serbia 357
Botswana,Namibia 1360; South Africa 1840; Zimbabwe 813
Brazil,Argentina 1261; Bolivia 3423; Colombia 1644; France 730; Guyana 1606; Paraguay 1365; Peru 2995; Suriname 593; Uruguay 1068; Venezuela 2200
Brunei,Malaysia 381
Bulgaria,Greece 494; Macedonia 148; Romania 608; Serbia 318; Turkey 240
Burkina Faso,Benin 306; Cote d'Ivoire 584; Ghana 549; Mali 1000; Niger 628; Togo 126
Burma,Bangladesh 193; China 2185; India 1463; Laos 235; Thailand 1800
Burundi,"Congo, Democratic Republic of The 233; Rwanda 290; Tanzania 451"
Cambodia,Laos 541; Thailand 803; Vietnam 1228
Cameroon,"Central African Republic 797; Chad 1094; Congo, Republic of The 523; Equatorial Guinea 189; Gabon 298; Nigeria 1690"
Canada,United States 8893
Cape Verde,
Central African Republic,"Cameroon 797; Chad 1197; Congo, Democratic Republic of The 1577; Congo, Republic of The 467; South Sudan 990; Sudan 175"
Chad,Cameroon 1094; Central African Republic 1197; Libya 1055; Niger 1175; Nigeria 87; Sudan 1360
Chile,Argentina 5308; Bolivia 860; Peru 171
China,"Afghanistan 76; Bhutan 470; Burma 2185; India 3380; Kazakhstan 1533; Korea, North 1416; Kyrgyzstan 858; Laos 423; Mongolia 4677; Nepal 1236; Pakistan 523; Russia 3645; Tajikistan 414; Vietnam 1281"
Colombia,Brazil 1644; Ecuador 590; Panama 225; Peru 1800; Venezuela 2050
Comoros,
"Congo, Democratic Republic of The","Angola 2511; Burundi 233; Central African Republic 1577; Congo, Republic of The 2410; Rwanda 217; South Sudan 628; Tanzania 459; Uganda 765; Zambia 1930"
"Congo, Republic of The ","Angola 201; Cameroon 523; Central African Republic 467; Congo, Democratic Republic of The 2410; Gabon 1903"
Costa Rica,Nicaragua 309; Panama 330
Cote d'Ivoire,Burkina Faso 584; Ghana 668; Guinea 610; Liberia 716; Mali 532
Croatia,Bosnia and Herzegovina 932; Hungary 329; Serbia 241; Montenegro 25; Slovenia 455
Cuba,
Cyprus,
Czech Republic,Austria 362; Germany 815; Poland 615; Slovakia 197
Denmark,Germany 68
Djibouti,Eritrea 109; Ethiopia 349; Somalia 58
Dominica,
Dominican Republic,Haiti 360
Ecuador,Colombia 590; Peru 1420
Egypt,Israel 266; Libya 1115; Sudan 1273
El Salvador,Guatemala 203; Honduras 342
Equatorial Guinea,Cameroon 189; Gabon 350
Eritrea,Djibouti 109; Ethiopia 912; Sudan 605
Estonia,Latvia 343; Russia 290
Ethiopia,Djibouti 349; Eritrea 912; Kenya 861; Somalia 1600; South Sudan 837; Sudan 769
Fiji,
Finland,Norway 727; Sweden 614; Russia 1313
France,Andorra 56.6; Belgium 620; Germany 451; Italy 488; Luxembourg 73; Monaco 4.4; Spain 623; Switzerland 573
Gabon,"Cameroon 298; Congo, Republic of The 1903; Equatorial Guinea 350"
"Gambia, The",Senegal 740
Georgia,Armenia 164; Azerbaijan 322; Russia 723; Turkey 252
Germany,Austria 784; Belgium 167; Czech Republic 815; Denmark 68; France 451; Luxembourg 138; Netherlands 577; Poland 456; Switzerland 334
Ghana,Burkina Faso 549; Cote d'Ivoire 668; Togo 877
Greece,Albania 282; Bulgaria 494; Turkey 206; Macedonia 246
Grenada,
Guatemala,Belize 266; El Salvador 203; Honduras 256; Mexico 962
Guinea,Cote d'Ivoire 610; Guinea-Bissau 386; Liberia 563; Mali 858; Senegal 330; Sierra Leone 652
Guinea-Bissau,Guinea 386; Senegal 338
Guyana,Brazil 1606; Suriname 600; Venezuela 743
Haiti,Dominican Republic 360
Honduras,Guatemala 256; El Salvador 342; Nicaragua 922
Hungary,Austria 366; Croatia 329; Romania 443; Serbia 166; Slovakia 676; Slovenia 102; Ukraine 103
Iceland,
India,Bangladesh 4053; Bhutan 605; Burma 1463; China 3380; Nepal 1690; Pakistan 2912
Indonesia,Timor-Leste 228; Malaysia 1782; Papua New Guinea 820
Iran,Afghanistan 936; Armenia 35; Azerbaijan 611; Iraq 1458; Pakistan 909; Turkey 499; Turkmenistan 992
