Afghanistan,Pakistan; India; Tajikistan; Russia; Bangladesh
Albania,"Italy, China, Turkey, Greece, Spain, India"
Algeria,"United States, Spain, Canada, France, Brazil, Netherlands, Germany, Italy"
Angola,China; United States; India; Canada
Argentina,Brazil; China; Chile; United States
Albania,Russia; Germany; Iran; Bulgaria; Netherlands; United States; Spain; Canada; Belgium; Georgia
Australia,"China; Japan; Korea, South; India"
Austria,Germany; Italy; Switzerland; France
Azerbaijan,Italy; France; United States; Germany; Indonesia; Czech Republic
"Bahamas, The",Singapore; United States; Dominican Republic; Ecuador; Mexico; Switzerland
Bahrain,Saudi Arabia; United Arab Emirates; Japan; India
Bangladesh,United States; Germany; United Kingdom; France; Italy; Netherlands; Spain; Canada
Barbados,Trinidad and Tobago; France; United States; Saint Lucia; Saint Vincent and the Grenadines; Venezuela; Antigua and Barbuda; Saint Kitts and Nevis
Belarus,Russia; Netherlands; Ukraine; Latvia; Germany; Brazil
Belgium,Germany; France; Netherlands; United Kingdom; Italy; United States
Belize,United States; United Kingdom; Costa Rica; Nigeria
Benin,India; China; Indonesia; Niger; Singapore; Nigeria
Bolivia,"Brazil; United States; Korea, South; Peru; Argentina; Japan"
Bosnia and Herzegovina,Slovenia; Croatia; Italy; Germany; Austria
Brazil,China; United States; Argentina; Netherlands
Brunei,"Japan; Korea, South; Australia; Indonesia; India; China"
Bulgaria,Germany; Romania; Italy; Turkey; Greece; Belgium; France
Burkina Faso,China; Turkey; Singapore; Indonesia; Thailand
Burma,Thailand; China; India; Japan
Burundi,Germany; China; Sweden; Belgium; Pakistan; United States; France
Cambodia,United States; Canada; Germany; United Kingdom; Japan
Cameroon,Spain; China; Netherlands; Italy; India; France; United States; Germany; Belgium
Canada,United States; United Kingdom
Cape Verde,Spain; Portugal
Central African Republic,"Belgium; China; Morocco; Congo, Democratic Republic of The; France; Indonesia"
Chad,United States; China; France
Chile,"China; United States; Japan; Brazil; Korea, South; Netherlands"
China,"United States; Japan; Korea, South; Germany"
Colombia,United States; China; Ecuador
Comoros,Singapore; Turkey; France; Netherlands
"Congo, Democratic Republic of The",China; Zambia; United States; Belgium
"Congo, Republic of The",China; United States; Australia; France; Spain; Italy; Netherlands
Costa Rica,United States; China; Netherlands; United Kingdom
Cote d'Ivoire,Netherlands; United States; Germany; Nigeria; Canada; France; South Africa
Croatia,Italy; Bosnia and Herzegovina; Germany; Slovenia; Austria; Luxembourg
Cuba,China; Canada; Venezuela; Netherlands; Spain
