Canada,8893
Turkmenistan,10646
Lithuania,8831
Cambodia,11456
Ethiopia,11945
Swaziland,13653
Argentina,8604
Bolivia,8530
Cameroon,12148
Burkina Faso,11339
Ghana,11888
Saudi Arabia,10165
Slovenia,8760
Guatemala,3657
Bosnia and Herzegovina,9385
Guinea,10914
Germany,8284
Spain,8194
Liberia,11477
Netherlands,8744
Oman,10841
Tanzania,13162
Gabon,12446
Monaco,8077
Yemen,11129
Pakistan,10563
Albania,9241
United Arab Emirates,10622
Uruguay,8411
India,11567
Azerbaijan,9342
Democratic Republic of The Congo,12928
Kenya,12573
South Korea,9314
Tajikistan,10906
Turkey,9351
Afghanistan,10568
Czech Republic,8982
Eritrea,11781
Mongolia,12601
France,8073
Rwanda,12945
Slovakia,8785
Somalia,11948
Peru,7499
Laos,10915
Norway,9254
Cote d'Ivoire,11524
Benin,11033
Lesotho,14948
Montenegro,9152
Togo,11465
China,10492
Armenia,9619
Ukraine,8875
Indonesia,14547
Libya,10793
Finland,9981
Central African Republic,11351
Republic of The Congo,11818
United States,0
Liechtenstein,8659
Vietnam,11773
Mali,11003
Russia,9058
Bulgaria,9238
Romania,9305
Angola,12019
Portugal,9408
South Africa,14039
Sweden,10595
Malaysia,12765
Senegal,10584
Mozambique,13548
Uganda,12776
Hungary,8862
Niger,10767
Brazil,7343
Kuwait,9943
Panama,5474
Costa Rica,5144
Luxembourg,8146
Andorra,8130
Nigeria,11806
Ecuador,6289
Bangladesh,11343
Brunei,13146
Belarus,9345
Iran,9654
Algeria,9811
El Salvador,3860
Chile,7670
Belgium,8294
Thailand,12259
Belize,3391
Sierra Leone,11566
Georgia,9603
Denmark,8352
Poland,8740
Moldova,9755
Morocco,8210
Croatia,9177
Guinea-Bissau,10922
Switzerland,8618
Iraq,9703
Chad,11848
Estonia,9348
Kosovo,9231
Equatorial Guinea,12337
Lebanon,10201
Uzbekistan,10705
Egypt,10388
Djibouti,11890
Timor-Leste,14775
Colombia,5699
Burundi,13161
Nicaragua,4835
Qatar,10225
Italy,8561
Bhutan,10962
Sudan,11176
Nepal,11728
Suriname,7936
Venezuela,7749
Israel,10122
Zambia,13129
Austria,8694
Papua New Guinea,15367
Malawi,13637
Zimbabwe,13926
Jordan,9884
Gambia,11324
Kazakhstan,11025
Mauritania,9771
Kyrgyzstan,11350
Macedonia,9090
North Korea,9076
Latvia,9350
South Sudan,12341
Guyana,8492
Syria,10173
Burma,11150
Honduras,3913
Mexico,3141
Tunisia,10776
Serbia,9028
Greece,9336
Paraguay,8708
Namibia,13362
Botswana,14722
