,Country,Male obesity,,,,,,
1,Nauru,0.85,,,,,,
2,Cook Islands,0.72,,,,,,
3,Micronesia (Federated States of),0.69,,,,,,
4,Tonga,0.64,,,,,,
5,United States of America,0.44,,,,,,
6,Samoa,0.42,,,,,,
7,Niue,0.41,,,,,,
8,Argentina,0.37,,,,,,
9,Palau,0.35,,,,,,
10,Kiribati,0.34,,,,,,
11,Greece,0.30,,,,,,
11,Kuwait,0.30,,,,,,
11,Mexico,0.30,,,,,,
12,New Zealand,0.29,,,,,,
12,Venezuela,0.29,,,,,,
13,Australia,0.28,,,,,,
13,Malta,0.28,,,,,,
14,Canada,0.26,,,,,,
14,Dominica,0.26,,,,,,
14,Uruguay,0.26,,,,,,
15,United Arab Emirates,0.25,,,,,,
16,Chile,0.24,,,,,,
16,United Kingdom,0.24,,,,,,
17,Austria,0.23,,,,,,
17,Germany,0.23,,,,,,
17,Saudi Arabia,0.23,,,,,,
18,Barbados,0.22,,,,,,
18,Egypt,0.22,,,,,,
19,Bahrain,0.21,,,,,,
19,Finland,0.21,,,,,,
19,Seychelles,0.21,,,,,,
20,Colombia,0.20,,,,,,
20,Croatia,0.20,,,,,,
20,Cuba,0.20,,,,,,
20,Czech Republic,0.20,,,,,,
20,Guatemala,0.20,,,,,,
20,Jordan,0.20,,,,,,
21,Albania,0.19,,,,,,
21,Bolivia,0.19,,,,,,
21,Iceland,0.19,,,,,,
21,Qatar,0.19,,,,,,
21,Trinidad and Tobago,0.19,,,,,,
22,Costa Rica,0.18,,,,,,
22,Israel,0.18,,,,,,
22,Peru,0.18,,,,,,
23,Andorra,0.17,,,,,,
23,Brunei Darussalam,0.17,,,,,,
23,Bulgaria,0.17,,,,,,
23,Lithuania,0.17,,,,,,
23,Spain,0.17,,,,,,
24,Bahamas,0.16,,,,,,
24,Belarus,0.16,,,,,,
24,Hungary,0.16,,,,,,
24,Monaco,0.16,,,,,,
24,Nicaragua,0.16,,,,,,
24,San Marino,0.16,,,,,,
24,Vanuatu,0.16,,,,,,
25,Azerbaijan,0.15,,,,,,
25,Belgium,0.15,,,,,,
25,Lebanon,0.15,,,,,,
25,Mongolia,0.15,,,,,,
25,Portugal,0.15,,,,,,
26,Bosnia and Herzegovina,0.14,,,,,,
26,Italy,0.14,,,,,,
26,Luxembourg,0.14,,,,,,
26,Slovenia,0.14,,,,,,
26,Switzerland,0.14,,,,,,
27,Libyan Arab Jamahiriya,0.13,,,,,,
27,Norway,0.13,,,,,,
27,Poland,0.13,,,,,,
27,Saint Kitts and Nevis,0.13,,,,,,
27,Sweden,0.13,,,,,,
27,Tuvalu,0.13,,,,,,
28,Antigua and Barbuda,0.12,,,,,,
28,Armenia,0.12,,,,,,
28,Brazil,0.12,,,,,,
28,Denmark,0.12,,,,,,
28,Ireland,0.12,,,,,,
28,Netherlands,0.12,,,,,,
28,Slovakia,0.12,,,,,,
28,Syrian Arab Republic,0.12,,,,,,
29,Cyprus,0.11,,,,,,
29,Dominican Republic,0.11,,,,,,
29,Fiji,0.11,,,,,,
29,Grenada,0.11,,,,,,
29,Turkey,0.11,,,,,,
