Canada,0
Sao Tome and Principe,-4
Turkmenistan,-5
Lithuania,-3
Cambodia,-4
Saint Kitts and Nevis,-3
Ethiopia,-4
The Gambia,-4
Argentina,1
Bolivia,-6
Cameroon,-4
Burkina Faso,-5
Ghana,-6
Saudi Arabia,17
Japan,26
Cape Verde,-5
Slovenia,-4
Guatemala,0
Bosnia and Herzegovina,-7
The Bahamas,-6
Germany,63
Dominica,-4
Australia,5
Liberia,-3
Maldives,-7
Paraguay,-4
Pakistan,-3
Oman,-6
Tanzania,-3
Gabon,-3
New Zealand,-1
Yemen,-6
Jamaica,-5
Albania,-5
Samoa,-7
United Arab Emirates,16
India,31
Azerbaijan,-6
Madagascar,-8
Lesotho,-4
Saint Vincent and the Grenadines,-5
Kenya,1
South Korea,23
Tajikistan,-4
Turkey,9
Afghanistan,-5
Bangladesh,-3
Eritrea,-9
Solomon Islands,-5
Saint Lucia,-3
Mongolia,-5
France,38
Rwanda,-6
Slovakia,-6
Somalia,-9
Peru,-4
Laos,-3
Norway,-2
Cote d'Ivoire,-2
Benin,-7
Cuba,-3
Republic of the Congo,-5
Togo,-4
China,149
Armenia,-7
Dominican Republic,-3
Ukraine,2
Bahrain,-6
Tonga,-4
Finland,-1
Libya,-8
Indonesia,-4
Central African Republic,-4
United States,93
Sweden,-4
Vietnam,-4
Mali,-4
Russia,29
Bulgaria,-6
Mauritius,-3
Romania,-5
Angola,-6
Chad,-8
South Africa,8
Fiji,-1
Malaysia,7
Austria,5
Mozambique,-6
Uganda,-4
Hungary,-5
Niger,-2
Brazil,15
Guinea,-3
Panama,-4
Costa Rica,-2
Luxembourg,-6
Ireland,-3
Nigeria,0
Ecuador,-6
Czech Republic,-4
Brunei,-6
Belarus,-3
Iran,0
Algeria,-5
El Salvador,-1
Venezuela,3
Chile,-2
Belgium,9
Thailand,2
Haiti,-5
Belize,-6
Sierra Leone,-6
Georgia,-6
Denmark,-3
Philippines,-8
Moldova,-7
Morocco,-8
Croatia,-4
Guinea-Bissau,-3
Switzerland,-2
Grenada,-2
Seychelles,-5
Portugal,0
Estonia,-6
Uruguay,-6
Equatorial Guinea,-6
Lebanon,-7
Uzbekistan,-5
Egypt,-2
Djibouti,-6
Antigua and Barbuda,1
Spain,6
Colombia,-2
Burundi,-9
Taiwan,-2
Cyprus,-8
Barbados,-4
Qatar,-9
Italy,36
Sudan,-5
Nepal,-2
Malta,-4
Democratic Republic of the Congo,-6
Netherlands,25
Suriname,-7
Kuwait,-3
Israel,-5
Iceland,-8
Zambia,-2
Senegal,-4
Papua New Guinea,-7
Malawi,-6
Zimbabwe,-1
Jordan,-5
Vanuatu,-6
Kazakhstan,0
Poland,0
Mauritania,-9
Kyrgyzstan,-3
Iraq,-4
Macedonia,-6
North Korea,-3
Trinidad and Tobago,3
Latvia,-5
Guyana,-5
Syria,-6
Burma,-6
Honduras,-6
Mexico,8
Tunisia,-5
Nicaragua,-7
Singapore,17
United Kingdom,14
Greece,-4
Sri Lanka,-4
Comoros,-6
