country1,country2,obes_diff
Afghanistan,China,0.014169082
Afghanistan,Iran,0.127169082
Afghanistan,Pakistan,0.019732189
Afghanistan,Tajikistan,0.070623627
Afghanistan,Turkmenistan,0.105625935
Afghanistan,Uzbekistan,0.110445464
Albania,Greece,0.009619289
Albania,Kosovo,0.215380711
Albania,Macedonia,0.065380711
Algeria,Libya,0.14049505
Algeria,Mali,0.064151415
Algeria,Mauritania,0.048869434
Algeria,Morocco,0.05049505
Algeria,Niger,0.08950495
Algeria,Tunisia,0.094873159
Andorra,France,0.067666667
Andorra,Spain,0.080666667
Angola,Democratic Republic of the Congo,0.045532995
Angola,Republic of the Congo,0.025532995
Angola,Namibia,0.025076142
Angola,Zambia,0.045532995
Argentina,Bolivia,0.079574403
Argentina,Brazil,0.264102041
Argentina,Chile,0.156102041
Argentina,Paraguay,0.2356961
Argentina,Uruguay,0.094376652
Armenia,Azerbaijan,0.038239659
Armenia,Georgia,0.044579691
Armenia,Iran,0.020780749
Armenia,Turkey,0.001780749
Austria,Czech Republic,0.041
Austria,Germany,0.019
Austria,Hungary,0.067
Austria,Italy,0.012
Austria,Slovakia,0.033
Austria,Slovenia,0.04
Austria,Switzerland,0.028
Azerbaijan,Armenia,0.038239659
Azerbaijan,Georgia,0.08281935
Azerbaijan,Iran,0.059020408
Azerbaijan,Russia,0.038979592
Azerbaijan,Turkey,0.040020408
Bangladesh,Burma,0.11
Bangladesh,India,0.02
Belarus,Latvia,0.089561497
Belarus,Lithuania,0.048561497
Belarus,Poland,0.065561497
Belarus,Russia,0.005561497
Belarus,Ukraine,0.111045368
Belgium,France,0.061
Belgium,Germany,0.021
Belgium,Luxembourg,0.05220202
Belgium,Netherlands,0.017050505
Belize,Guatemala,0.137773546
Belize,Mexico,0.086594059
Benin,Burkina Faso,0.05450495
Benin,Niger,0.04950495
Benin,Nigeria,0.01450495
Benin,Togo,0.02920192
Bhutan,China,0.088169811
Bhutan,India,0.097169811
Bolivia,Argentina,0.079574403
Bolivia,Brazil,0.184527638
Bolivia,Chile,0.076527638
Bolivia,Paraguay,0.156121697
Bolivia,Peru,0.132527638
Bosnia and Herzegovina,Croatia,0.006
Botswana,Namibia,0.094543147
Botswana,South Africa,0.102208122
Botswana,Zimbabwe,0.032
Brazil,Argentina,0.264102041
Brazil,Bolivia,0.184527638
Brazil,Colombia,0.026
Brazil,France,0.058
Brazil,Guyana,0.022658537
Brazil,Paraguay,0.028405941
Brazil,Peru,0.052
Brazil,Suriname,0.029
Brazil,Uruguay,0.169725389
Brazil,Venezuela,0.219
Brunei,Malaysia,0.137
Bulgaria,Greece,0.101
Bulgaria,Macedonia,0.026
Bulgaria,Romania,0.038
Bulgaria,Turkey,0.037
Burkina Faso,Benin,0.05450495
Burkina Faso,Cote d'Ivoire,0.014411765
Burkina Faso,Ghana,0.039926108
Burkina Faso,Mali,0.030353535
Burkina Faso,Niger,0.005
Burkina Faso,Togo,0.02530303
Burma,Bangladesh,0.11
Burma,China,0.081
Burma,India,0.09
Burma,Laos,0.098
Burma,Thailand,0.032
Burundi,Democratic Republic of the Congo,0.000204082
Burundi,Republic of the Congo,0.019795918
Burundi,Rwanda,0.000105196
Burundi,Tanzania,0.029795918
Cambodia,Laos,0.007102041
Cambodia,Thailand,0.073102041
Cambodia,Vietnam,0.000102041
Cameroon,Central African Republic,0.109847716
Cameroon,Chad,0.099949749
Cameroon,Republic of the Congo,0.09
Cameroon,Equatorial Guinea,0.010505051
Cameroon,Gabon,0.01
Cameroon,Guinea,0.08029703
Cameroon,Niger,0.1
Cameroon,Nigeria,0.065
Canada,United States,0.108
Central African Republic,Cameroon,0.109847716
Central African Republic,Chad,0.009897967
Central African Republic,Democratic Republic of the Congo,0.000152284
