country1,country2,obes_diff
Afghanistan,Germany,0.114169082
Afghanistan,India,0.005169082
Afghanistan,Pakistan,0.019732189
Afghanistan,Russia,0.225169082
Afghanistan,United States,0.324169082
Albania,China,0.186380711
Albania,Germany,0.086380711
Albania,Greece,0.009619289
Albania,Italy,0.117380711
Albania,Turkey,0.054380711
Algeria,China,0.08050495
Algeria,France,0.05949505
Algeria,Germany,0.01949505
Algeria,Italy,0.01150495
Algeria,Spain,0.04649505
Algeria,United States,0.22949505
Angola,Brazil,0.055467005
Angola,China,0.026532995
Angola,France,0.113467005
Angola,Portugal,0.086467005
Angola,South Africa,0.171675127
Angola,United States,0.283467005
Argentina,Brazil,0.264102041
Argentina,China,0.346102041
Argentina,Germany,0.246102041
Argentina,United States,0.036102041
Armenia,China,0.133780749
Armenia,Germany,0.033780749
Armenia,Iran,0.020780749
Armenia,Italy,0.064780749
Armenia,Russia,0.077219251
Armenia,Turkey,0.001780749
Armenia,Ukraine,0.02826462
Australia,China,0.135
Australia,Germany,0.035
Australia,Japan,0.133
Australia,Singapore,0.095
Australia,United States,0.175
Austria,Germany,0.019
Austria,Italy,0.012
Austria,Netherlands,0.015050505
Austria,Switzerland,0.028
Azerbaijan,China,0.172020408
Azerbaijan,Germany,0.072020408
Azerbaijan,Italy,0.103020408
Azerbaijan,Russia,0.038979592
Azerbaijan,Turkey,0.040020408
Azerbaijan,Ukraine,0.066504279
Azerbaijan,United Kingdom,0.025979592
The Bahamas,China,0.261
The Bahamas,India,0.27
The Bahamas,South Korea,0.258
The Bahamas,Singapore,0.221
The Bahamas,United States,0.049
The Bahamas,Venezuela,0.04
Bahrain,Brazil,0.171340426
Bahrain,China,0.253340426
Bahrain,Germany,0.153340426
Bahrain,India,0.262340426
Bahrain,Japan,0.251340426
Bahrain,Saudi Arabia,0.073659574
Bahrain,United States,0.056659574
Bangladesh,China,0.029
Bangladesh,India,0.02
Bangladesh,Malaysia,0.163
Barbados,China,0.371412371
Barbados,Russia,0.160412371
Barbados,Trinidad and Tobago,0.036053397
Barbados,United States,0.061412371
Belarus,China,0.216561497
Belarus,Germany,0.116561497
Belarus,Russia,0.005561497
Belarus,Ukraine,0.111045368
Belgium,China,0.079
Belgium,France,0.061
Belgium,Germany,0.021
Belgium,Ireland,0.022
Belgium,Netherlands,0.017050505
Belgium,United Kingdom,0.119
Belgium,United States,0.231
Belize,China,0.120405941
Belize,Cuba,0.031405941
Belize,Guatemala,0.137773546
Belize,Mexico,0.086594059
Belize,Trinidad and Tobago,0.214953033
Belize,United States,0.189594059
Benin,Belgium,0.03849505
Benin,China,0.04050495
Benin,France,0.09949505
Benin,India,0.04950495
Benin,Netherlands,0.055545555
Benin,United Kingdom,0.15749505
Benin,United States,0.26949505
Bolivia,Argentina,0.079574403
Bolivia,Brazil,0.184527638
Bolivia,Chile,0.076527638
Bolivia,China,0.266527638
Bolivia,Peru,0.132527638
Bolivia,United States,0.043472362
Bosnia and Herzegovina,Austria,0.107
Bosnia and Herzegovina,Croatia,0.006
Bosnia and Herzegovina,Germany,0.088
Bosnia and Herzegovina,Hungary,0.04
Bosnia and Herzegovina,Italy,0.119
Bosnia and Herzegovina,Russia,0.023
Bosnia and Herzegovina,Slovenia,0.067
Brazil,Argentina,0.264102041
Brazil,China,0.082
Brazil,Germany,0.018
Brazil,South Korea,0.079
Brazil,United States,0.228
Brunei,China,0.271
Brunei,Germany,0.171
Brunei,India,0.28
Brunei,South Korea,0.268
Brunei,Malaysia,0.137
Brunei,Singapore,0.231
Bulgaria,Germany,0.005
Bulgaria,Greece,0.101
Bulgaria,Italy,0.026
Bulgaria,Romania,0.038
Bulgaria,Russia,0.116
Bulgaria,Spain,0.032
Bulgaria,Turkey,0.037
Burkina Faso,Belgium,0.093
Burkina Faso,Cote d'Ivoire,0.014411765
Burkina Faso,France,0.154
