1	Qatar	           4.93
2	Zimbabwe	           4.36
3	Niger	           3.63
4	Uganda	           3.58
5	Ethiopia	           3.18
6	Turks and Caicos Islands	           3.17
7	Gaza Strip	           3.11
8	Burundi	           3.10
9	Burkina Faso	           3.07
10	United Arab Emirates	           3.06
11	Zambia	           3.03
12	Western Sahara	           3.03
13	Madagascar	           2.95
14	Benin	           2.88
15	Congo, Republic of the	           2.85
16	Angola	           2.78
17	Malawi	           2.76
18	Rwanda	           2.75
19	Togo	           2.75
20	Bahrain	           2.65
21	Guinea	           2.64
22	Mali	           2.61
23	Liberia	           2.61
24	Equatorial Guinea	           2.61
25	Congo, Democratic Republic of the	           2.58
26	Yemen	           2.58
27	Nigeria	           2.55
28	Senegal	           2.53
29	Kenya	           2.44
30	British Virgin Islands	           2.44
31	Mozambique	           2.44
32	Eritrea	           2.42
33	Iraq	           2.35
34	Gambia, The	           2.34
35	Mauritania	           2.32
36	Djibouti	           2.29
37	Sierra Leone	           2.28
38	Cayman Islands	           2.24
39	Afghanistan	           2.22
40	Solomon Islands	           2.17
41	Anguilla	           2.15
42	Central African Republic	           2.14
43	Cameroon	           2.08
44	West Bank	           2.06
45	Comoros	           2.06
46	Cote d'Ivoire	           2.04
47	Oman	           2.04
48	Belize	           2.01
49	Libya	           2.01
50	Sao Tome and Principe	           2.00
51	Singapore	           1.99
52	Chad	           1.98
53	Gabon	           1.98
54	Guinea-Bissau	           1.97
55	Tanzania	           1.96
56	Timor-Leste	           1.96
57	Guatemala	           1.95
58	Papua New Guinea	           1.94
59	Egypt	           1.92
60	Sudan	           1.88
61	Kuwait	           1.88
62	Marshall Islands	           1.87
63	Philippines	           1.87
64	Honduras	           1.84
65	Tajikistan	           1.82
66	Ghana	           1.79
67	Nepal	           1.77
68	Brunei	           1.69
69	Cambodia	           1.69
70	Bolivia	           1.66
71	Laos	           1.66
72	Somalia	           1.60
73	Bangladesh	           1.58
74	Cyprus	           1.57
75	Pakistan	           1.55
76	Malaysia	           1.54
77	Israel	           1.54
78	Saudi Arabia	           1.52
79	New Caledonia	           1.49
80	Botswana	           1.48
81	Mongolia	           1.47
82	Venezuela	           1.47
83	Cape Verde	           1.43
84	Ecuador	           1.42
85	Aruba	           1.41
86	Panama	           1.41
87	Vanuatu	           1.32
88	India	           1.31
89	Dominican Republic	           1.31
90	Costa Rica	           1.29
91	Antigua and Barbuda	           1.28
92	Guam	           1.28
93	Paraguay	           1.26
94	Iran	           1.25
95	Kazakhstan	           1.24
96	Kiribati	           1.23
97	Suriname	           1.22
98	American Samoa	           1.21
99	Turkey	           1.20
100	Swaziland	           1.20
101	Bhutan	           1.18
102	Algeria	           1.17
103	Turkmenistan	           1.14
104	Christmas Island	           1.14
105	Luxembourg	           1.14
106	Colombia	           1.13
107	Australia	           1.13
108	Ireland	           1.11
109	Brazil	           1.10
110	Mexico	           1.09
111	Burma	           1.07
112	Nicaragua	           1.07
113	Vietnam	           1.05
114	Morocco	           1.05
115	Indonesia	           1.04
116	French Polynesia	           1.02
117	Azerbaijan	           1.02
118	Peru	           1.02
119	Argentina	           1.00
120	San Marino	           0.98
121	Tunisia	           0.96
122	Uzbekistan	           0.94
123	Seychelles	           0.92
124	Sri Lanka	           0.91
125	Bahamas, The	           0.90
126	United States	           0.90
127	Haiti	           0.89
128	Kyrgyzstan	           0.89
129	Chile	           0.88
130	Isle of Man	           0.88
131	Macau	           0.87
132	New Zealand	           0.86
133	Jersey	           0.83
134	Namibia	           0.82
135	Saint Kitts and Nevis	           0.81
136	Liechtenstein	           0.80
137	Canada	           0.78
138	Fiji	           0.77
139	Tuvalu	           0.73
140	Jamaica	           0.71
141	Mauritius	           0.71
142	Iceland	           0.67
143	Spain	           0.65
144	Nauru	           0.61
145	Samoa	           0.60
146	Bermuda	           0.57
147	United Kingdom	           0.55
148	Thailand	           0.54
149	Grenada	           0.54
150	Korea, North	           0.54
151	France	           0.50
152	Montserrat	           0.48
153	China	           0.48
154	Netherlands	           0.45
155	Faroe Islands	           0.45
156	Hong Kong	           0.42
157	Guernsey	           0.41
158	Italy	           0.38
159	Saint Lucia	           0.38
160	Palau	           0.36
161	Malta	           0.36
162	Wallis and Futuna	           0.36
163	Barbados	           0.35
164	Saint Helena, Ascension, and Tristan da Cunha	           0.35
165	Lesotho	           0.33
166	Norway	           0.33
167	El Salvador	           0.30
168	Albania	           0.28
169	Andorra	           0.27
170	Gibraltar	           0.27
171	Uruguay	           0.24
172	Denmark	           0.24
173	Macedonia	           0.24
174	Puerto Rico	           0.24
175	Dominica	           0.22
176	Korea, South	           0.20
177	Switzerland	           0.20
178	Tonga	           0.19
179	Portugal	           0.18
180	Taiwan	           0.17
181	Sweden	           0.17
182	Armenia	           0.11
183	Slovakia	           0.10
184	Finland	           0.07
185	Belgium	           0.06
186	Greece	           0.06
187	Greenland	           0.04
188	Austria	           0.03
189	Falkland Islands (Islas Malvinas)	           0.01
190	Norfolk Island	           0.01
191	Holy See (Vatican City)	           0.00
192	Pitcairn Islands	           0.00
193	Cocos (Keeling) Islands	           0.00
194	Bosnia and Herzegovina	          -0.00
195	Tokelau	          -0.01
196	Svalbard	          -0.03
197	Niue	          -0.03
198	Monaco	          -0.07
199	Poland	          -0.08
200	Japan	          -0.08
201	Trinidad and Tobago	          -0.09
202	Virgin Islands	          -0.09
203	Croatia	          -0.09
204	Cuba	          -0.12
205	Maldives	          -0.13
206	Czech Republic	          -0.13
207	Hungary	          -0.18
208	Slovenia	          -0.19
209	Germany	          -0.20
210	Romania	          -0.26
