PPGDP rank,Country,PPGDP,,,,,,
214,Afghanistan,1000.00,,,,,,
129,Albania,7800.00,,,,,,
133,Algeria,7400.00,,,,,,
127,American Samoa,8000.00,,,,,,
31,Andorra,37200.00,,,,,,
140,Angola,6000.00,,,,,,
100,Anguilla,12200.00,,,,,,
67,Antigua and Barbuda,18200.00,,,,,,
69,Argentina,17700.00,,,,,,
148,Armenia,5500.00,,,,,,
59,Aruba,21800.00,,,,,,
22,Australia,40800.00,,,,,,
18,Austria,42400.00,,,,,,
110,Azerbaijan,10300.00,,,,,,
41,"Bahamas, The",31400.00,,,,,,
49,Bahrain,27900.00,,,,,,
197,Bangladesh,1700.00,,,,,,
57,Barbados,23700.00,,,,,,
81,Belarus,15200.00,,,,,,
27,Belgium,38200.00,,,,,,
124,Belize,8400.00,,,,,,
201,Benin,1500.00,,,,,,
4,Bermuda,69900.00,,,,,,
139,Bhutan,6200.00,,,,,,
155,Bolivia,4900.00,,,,,,
125,Bosnia and Herzegovina,8200.00,,,,,,
74,Botswana,16200.00,,,,,,
102,Brazil,11900.00,,,,,,
24,British Virgin Islands,38500.00,,,,,,
9,Brunei,50000.00,,,,,,
93,Bulgaria,13800.00,,,,,,
202,Burkina Faso,1500.00,,,,,,
206,Burma,1300.00,,,,,,
223,Burundi,600.00,,,,,,
187,Cambodia,2200.00,,,,,,
185,Cameroon,2300.00,,,,,,
20,Canada,41100.00,,,,,,
162,Cape Verde,4000.00,,,,,,
15,Cayman Islands,43800.00,,,,,,
221,Central African Republic,800.00,,,,,,
194,Chad,1900.00,,,,,,
70,Chile,17400.00,,,,,,
122,China,8500.00,,,,,,
109,Colombia,10400.00,,,,,,
208,Comoros,1200.00,,,,,,
227,"Congo, Democratic Republic of the",400.00,,,,,,
159,"Congo, Republic of the",4600.00,,,,,,
118,Cook Islands,9100.00,,,,,,
101,Costa Rica,12100.00,,,,,,
198,Cote d'Ivoire,1600.00,,,,,,
66,Croatia,18400.00,,,,,,
112,Cuba,9900.00,,,,,,
85,Curacao,15000.00,,,,,,
46,Cyprus,29400.00,,,,,,
50,Czech Republic,27400.00,,,,,,
29,Denmark,37600.00,,,,,,
176,Djibouti,2700.00,,,,,,
92,Dominica,14000.00,,,,,,
116,Dominican Republic,9400.00,,,,,,
121,Ecuador,8600.00,,,,,,
137,Egypt,6600.00,,,,,,
131,El Salvador,7600.00,,,,,,
64,Equatorial Guinea,19600.00,,,,,,
222,Eritrea,700.00,,,,,,
61,Estonia,20600.00,,,,,,
212,Ethiopia,1100.00,,,,,,
38,European Union,34500.00,,,,,,
7,Falkland Islands (Islas Malvinas),55400.00,,,,,,
45,Faroe Islands,30500.00,,,,,,
157,Fiji,4700.00,,,,,,
32,Finland,36700.00,,,,,,
35,France,35600.00,,,,,,
68,French Polynesia,18000.00,,,,,,
72,Gabon,16400.00,,,,,,
191,"Gambia, The",2000.00,,,,,,
146,Georgia,5600.00,,,,,,
26,Germany,38400.00,,,,,,
172,Ghana,3100.00,,,,,,
16,Gibraltar,43000.00,,,,,,
52,Greece,26600.00,,,,,,
30,Greenland,37400.00,,,,,,
91,Grenada,14100.00,,,,,,
83,Guam,15000.00,,,,,,
